iter	Passed	Remaining
727	10098	3773
728	10114	3759
729	10130	3746
730	10145	3733
731	10160	3720
732	10176	3706
733	10191	3693
734	10206	3679
735	10220	3665
736	10235	3652
737	10249	3638
738	10264	3625
739	10292	3616
740	10326	3609
741	10341	3595
742	10356	3582
743	10372	3569
744	10387	3555
745	10402	3541
746	10417	3528
747	10433	3515
748	10448	3501
749	10462	3487
750	10477	3473
751	10493	3460
752	10508	3447
753	10523	3433
754	10538	3419
755	10553	3406
756	10568	3392
757	10584	3379
758	10598	3365
759	10613	3351
760	10627	3337
761	10643	3324
762	10657	3310
763	10672	3296
764	10688	3283
765	10703	3269
766	10719	3256
767	10734	3242
768	10749	3228
769	10764	3215
770	10778	3201
771	10799	3189
772	10821	3177
773	10836	3164
774	10851	3150
775	10867	3136
776	10881	3123
777	10896	3109
778	10911	3095
779	10925	3081
780	10940	3067
781	10955	3054
782	10969	3040
783	10984	3026
784	10999	3012
785	11014	2998
786	11032	2985
787	11051	2973
788	11067	2959
789	11082	2945
790	11097	2932
791	11112	2918
792	11127	2904
793	11142	2890
794	11157	2877
795	11172	2863
796	11187	2849
797	11202	2835
798	11216	2821
799	11231	2807
800	11246	2793
801	11262	2780
802	11285	2768
803	11302	2755
804	11316	2741
805	11331	2727
806	11346	2713
807	11360	2699
808	11374	2685
809	11389	2671
810	11404	2657
811	11420	2644
812	11435	2630
813	11450	2616
814	11464	2602
815	11479	2588
816	11494	2574
817	11508	2560
818	11523	2546
819	11538	2532
820	11553	2519
821	11568	2505
822	11584	2491
823	11600	2477
824	11615	2463
825	11630	2450
826	11645	2436
827	11660	2422
828	11675	2408
829	11689	2394
830	11704	2380
831	11719	2366
832	11734	2352
833	11749	2338
834	11765	2325
835	11790	2313
836	11805	2299
837	11819	2284
838	11834	2270
839	11849	2257
840	11865	2243
841	11881	2229
842	11895	2215
843	11910	2201
844	11925	2187
845	11939	2173
846	11954	2159
847	11969	2145
848	11983	2131
849	11997	2117
850	12014	2103
851	12030	2089
852	12048	2076
853	12066	2062
854	12081	2048
855	12096	2034
856	12111	2020
857	12126	2006
858	12141	1993
859	12157	1979
860	12173	1965
861	12188	1951
862	12203	1937
863	12217	1923
864	12232	1909
865	12247	1895
866	12271	1882
867	12286	1868
868	12301	1854
869	12315	1840
870	12329	1826
871	12344	1812
872	12359	1797
873	12374	1783
874	12389	1769
875	12404	1755
876	12419	1741
877	12434	1727
878	12449	1713
879	12464	1699
880	12480	1685
881	12495	1671
882	12510	1657
883	12526	1643
884	12540	1629
885	12555	1615
886	12570	1601
887	12585	1587
888	12600	1573
889	12615	1559
890	12629	1545
891	12644	1530
892	12659	1516
893	12675	1502
894	12690	1488
895	12706	1474
896	12720	1460
897	12735	1446
898	12757	1433
899	12782	1420
900	12796	1406
901	12811	1391
902	12826	1377
903	12840	1363
904	12855	1349
905	12870	1335
906	12886	1321
907	12901	1307
908	12916	1293
909	12930	1278
910	12945	1264
911	12960	1250
912	12974	1236
913	12990	1222
914	13005	1208
915	13021	1194
916	13037	1180
917	13052	1165
918	13067	1151
919	13082	1137
920	13098	1123
921	13112	1109
922	13127	1095
923	13142	1080
924	13156	1066
925	13182	1053
926	13199	1039
927	13214	1025
928	13242	1012
929	13260	998
930	13275	983
931	13289	969
932	13303	955
933	13318	941
934	13333	926
935	13347	912
936	13363	898
937	13378	884
938	13393	870
939	13408	855
940	13423	841
941	13438	827
942	13455	813
943	13469	799
944	13485	784
945	13500	770
946	13514	756
947	13529	742
948	13544	727
949	13559	713
950	13574	699
951	13589	685
952	13603	670
953	13619	656
954	13634	642
955	13649	628
956	13663	613
957	13677	599
958	13692	585
959	13707	571
960	13723	556
961	13745	542
962	13759	528
963	13774	514
964	13789	500
965	13804	485
966	13819	471
967	13835	457
968	13850	443
969	13865	428
970	13880	414
971	13894	400
972	13908	385
973	13923	371
974	13937	357
975	13952	343
976	13968	328
977	13984	314
978	14000	300
979	14015	286
980	14030	271
981	14046	257
982	14061	243
983	14076	228
984	14090	214
985	14105	200
986	14120	185
987	14134	171
988	14149	157
989	14164	143
990	14179	128
991	14194	114
992	14212	100
993	14232	85
994	14247	71
995	14262	57
996	14279	42
997	14294	28
998	14308	14
999	14323	0
