iter	Passed	Remaining
625	7711	4607
626	7723	4594
627	7735	4582
628	7778	4587
629	7793	4577
630	7812	4568
631	7827	4558
632	7849	4551
633	7862	4538
634	7876	4527
635	7892	4516
636	7905	4504
637	7920	4494
638	7932	4481
639	7945	4469
640	7958	4457
641	7971	4445
642	7983	4432
643	7996	4420
644	8009	4408
645	8021	4395
646	8033	4383
647	8046	4371
648	8059	4358
649	8071	4346
650	8084	4334
651	8096	4321
652	8107	4308
653	8121	4296
654	8134	4284
655	8146	4271
656	8158	4259
657	8171	4247
658	8188	4237
659	8201	4225
660	8214	4212
661	8227	4200
662	8241	4188
663	8254	4177
664	8267	4164
665	8280	4152
666	8292	4139
667	8304	4127
668	8318	4115
669	8329	4102
670	8342	4090
671	8362	4081
672	8384	4073
673	8399	4062
674	8412	4050
675	8425	4038
676	8438	4026
677	8452	4014
678	8468	4003
679	8481	3991
680	8494	3979
681	8506	3966
682	8521	3955
683	8542	3946
684	8557	3935
685	8577	3925
686	8590	3913
687	8603	3901
688	8619	3890
689	8632	3878
690	8643	3865
691	8656	3853
692	8668	3840
693	8679	3827
694	8691	3814
695	8703	3801
696	8715	3788
697	8728	3776
698	8740	3763
699	8753	3751
700	8765	3738
701	8776	3725
702	8789	3713
703	8802	3700
704	8813	3687
705	8825	3675
706	8837	3662
707	8851	3650
708	8862	3637
709	8874	3624
710	8886	3612
711	8900	3600
712	8916	3589
713	8930	3577
714	8942	3564
715	8956	3552
716	8968	3539
717	8980	3527
718	8991	3514
719	9007	3502
720	9019	3490
721	9031	3477
722	9043	3464
723	9055	3452
724	9071	3441
725	9085	3428
726	9098	3416
727	9112	3404
728	9125	3392
729	9138	3379
730	9151	3367
731	9164	3355
732	9175	3342
733	9187	3329
734	9199	3316
735	9212	3304
736	9223	3291
737	9235	3278
738	9247	3266
739	9259	3253
740	9271	3240
741	9284	3228
742	9296	3215
743	9309	3203
744	9321	3190
745	9339	3179
746	9352	3167
747	9366	3155
748	9379	3143
749	9392	3130
750	9405	3118
751	9417	3105
752	9428	3092
753	9442	3080
754	9454	3067
755	9466	3055
756	9478	3042
757	9492	3030
758	9505	3018
759	9517	3005
760	9529	2992
761	9541	2980
762	9553	2967
763	9564	2954
764	9576	2941
765	9589	2929
766	9609	2919
767	9621	2906
768	9632	2893
769	9645	2881
770	9657	2868
771	9669	2855
772	9682	2843
773	9694	2830
774	9708	2818
775	9720	2805
776	9733	2793
777	9746	2781
778	9760	2769
779	9774	2756
780	9786	2744
781	9808	2734
782	9822	2722
783	9835	2709
784	9854	2699
785	9867	2686
786	9889	2676
787	9902	2664
788	9915	2651
789	9928	2639
